dataset,run,AUC_Original,AUC_GlobalLS
mammography.npz,9,0.8649215839548164,0.7573944182705512
insects.npz,6,0.7506646989686948,0.6173583678986234
insects.npz,7,0.7522941056842207,0.6095449214565387
insects.npz,8,0.765678797842143,0.6083717321767981
insects.npz,9,0.7582756238612882,0.610276925349646
mulcross.npz,0,0.9763467879159038,0.8133039931860411
mulcross.npz,1,0.9791680923290541,0.8133431194512007
mulcross.npz,2,0.9788739983372627,0.8110646747269267
mulcross.npz,3,0.9736962297458562,0.8116384197387495
mulcross.npz,4,0.9770640351906819,0.8135313221660486
nyc_taxi.npz,0,0.6192066738567994,0.6132167504667994
nyc_taxi.npz,1,0.6288538590266167,0.6188141467641352
mulcross.npz,5,0.9769024483706324,0.813968858110373
nyc_taxi.npz,2,0.6227027106393624,0.6110669567127567
nyc_taxi.npz,3,0.6026642836003954,0.6155206184937942
nyc_taxi.npz,4,0.6007064152866086,0.6182195878742022
nyc_taxi.npz,5,0.5984940765306745,0.6156121477648553
nyc_taxi.npz,6,0.6145531731672789,0.6198270706972089
nyc_taxi.npz,7,0.6230548123039747,0.6216120821688776
nyc_taxi.npz,8,0.6108886653201694,0.6122923048290844
nyc_taxi.npz,9,0.6220336888737018,0.6174614204122479
nyc_taxi_shingle.npz,0,0.6813452188068593,0.6535659294673801
nyc_taxi_shingle.npz,1,0.674993849434148,0.6518761525125732
nyc_taxi_shingle.npz,2,0.6675043379691866,0.6542668257255368
nyc_taxi_shingle.npz,3,0.6710868030699946,0.6415008568638781
nyc_taxi_shingle.npz,4,0.6778667959882215,0.6430026679276923
nyc_taxi_shingle.npz,5,0.6890732802558023,0.6425435789625356
nyc_taxi_shingle.npz,6,0.6720569063381869,0.6311288185242014
nyc_taxi_shingle.npz,7,0.6815987140910422,0.6504902633285253
nyc_taxi_shingle.npz,8,0.6653183004051326,0.6394529675234795
nyc_taxi_shingle.npz,9,0.6973732868470628,0.6510288689550092
shuttle.npz,1,0.9975335147330394,0.9230916127329912
shuttle.npz,0,0.996147481557389,0.9232400859403299
shuttle.npz,2,0.9967135272646817,0.8991835088855811
shuttle.npz,3,0.996808121257953,0.9268469349103231
shuttle.npz,5,0.9969999896159037,0.9220491950494777
shuttle.npz,4,0.9960968231625775,0.9212980225244418
mulcross.npz,6,0.9785326685113377,0.8112498645885501
mulcross.npz,7,0.9797514714861815,0.8093520053074725
shuttle.npz,7,0.9954473048165725,0.9275000958123438
shuttle.npz,6,0.996313183492366,0.9300306413311545
shuttle.npz,8,0.9974040571676112,0.9254617420842166
shuttle.npz,9,0.9968959612151133,0.9253668013296092
mulcross.npz,8,0.9779326811897849,0.8124103048605825
mulcross.npz,9,0.9781325678766881,0.8110415596661955
smtp.npz,0,0.8950786325505119,0.9029317256410794
smtp.npz,1,0.8923904435520609,0.8998018417677607
smtp.npz,2,0.9065411489322934,0.8958528688266089
smtp.npz,3,0.8923315742629075,0.8912691237586641
smtp.npz,4,0.888085801988941,0.8972876325435039
smtp.npz,5,0.8837426150579233,0.8998335540931676
smtp.npz,7,0.8619609780711898,0.8995714455914612
smtp.npz,6,0.9094588580759555,0.8934495651381676
smtp.npz,8,0.88404309372131,0.8971905682988879
smtp.npz,9,0.9029711470400662,0.8923354287996972
