dataset,run,AUC_Original,AUC_Adaptive
nyc_taxi.npz,9,0.6281262966646733,0.6281262966646733
nyc_taxi_shingle.npz,1,0.661369292236568,0.6630123172266427
nyc_taxi_shingle.npz,0,0.6644934347978705,0.641151366766864
nyc_taxi_shingle.npz,2,0.6557232260695087,0.6655660474969304
nyc_taxi_shingle.npz,3,0.6517951029999431,0.6801221950737225
nyc_taxi_shingle.npz,4,0.6537125083732003,0.6266367977816576
nyc_taxi_shingle.npz,5,0.6623907460234005,0.6491177865933759
nyc_taxi_shingle.npz,6,0.6536533019916336,0.6513101471690536
nyc_taxi_shingle.npz,7,0.6689536488758835,0.6667348466152344
nyc_taxi_shingle.npz,8,0.6696024281897486,0.6523133983466667
nyc_taxi_shingle.npz,9,0.6670117178817834,0.6548201850458092
mulcross.npz,0,0.9774692528331937,0.9279565849750193
mulcross.npz,4,0.9826928528181771,0.9409527121307454
mulcross.npz,1,0.97804969812273,0.9252923772467294
mulcross.npz,3,0.9817358952217624,0.9327530681666131
mulcross.npz,2,0.9747960093748073,0.9421577738690372
mulcross.npz,5,0.9818005533301764,0.9289171101026843
shuttle.npz,0,0.9974898290526594,0.9917416944693241
shuttle.npz,2,0.997915127145261,0.9948935425829105
shuttle.npz,1,0.9984057163362564,0.9978634190945136
shuttle.npz,3,0.9970260123359814,0.9920884370614368
shuttle.npz,4,0.9964626532480484,0.9952050935853863
shuttle.npz,5,0.9974571647596064,0.9923963236400648
shuttle.npz,6,0.9971239677274285,0.9917819812638164
shuttle.npz,7,0.99604823908783,0.991192724414846
mulcross.npz,6,0.9753350131580687,0.9321354626023302
shuttle.npz,8,0.9967818923554597,0.9931259344827508
shuttle.npz,9,0.9967505213884705,0.9946992812593443
mulcross.npz,7,0.9794761193219035,0.931372912660733
smtp.npz,0,0.8944937941957685,0.9369087666183097
smtp.npz,2,0.8825173979774195,0.91546317515716
smtp.npz,1,0.9032213415189678,0.8861431154468811
smtp.npz,3,0.8802779121025447,0.9074150775462719
smtp.npz,4,0.8963042000434512,0.9220922776107479
mulcross.npz,8,0.9818800445686583,0.931601421251157
smtp.npz,5,0.9000068330424911,0.9203204171309631
mulcross.npz,9,0.981080795654284,0.9387250312386158
smtp.npz,6,0.8879936435184211,0.9215416044684593
smtp.npz,7,0.886907364968568,0.8977990594930233
smtp.npz,8,0.8903433341042407,0.9211950465698127
smtp.npz,9,0.8961349508371353,0.9276096966129134
