dataset,run,AUC_Original,AUC_TopN
http.npz,5,0.9568491102005487,0.9699302121687274
mammography.npz,0,0.872109662744104,0.8721226910048664
mammography.npz,1,0.8802787343572842,0.8682029450911627
http.npz,6,0.9563379342782773,0.9650075225013661
mammography.npz,2,0.882371706843006,0.8776748427805829
mammography.npz,3,0.8637180543524954,0.8626162860301833
http.npz,7,0.9314684971320912,0.9708884562976245
mammography.npz,4,0.866064901865506,0.8860939161543391
mammography.npz,5,0.8683427348079915,0.8693378122381145
mammography.npz,6,0.869614926865682,0.8675473066711739
mammography.npz,7,0.8650152465862436,0.8656684202001421
http.npz,8,0.9426451310891651,0.9516036848905327
mammography.npz,8,0.8560380706906388,0.8654772216705752
mammography.npz,9,0.8723219881830154,0.8592606285959761
http.npz,9,0.9507496497036403,0.9758467706525739
insects.npz,4,0.7524359121568992,0.8059451205816309
insects.npz,5,0.7465234160289096,0.7936420452399326
insects.npz,6,0.7428958132895107,0.7987723302774392
insects.npz,7,0.758318866803623,0.8118350456543624
insects.npz,8,0.7509409169680977,0.8027459074103492
insects.npz,9,0.7454531450668331,0.7934007872560898
nyc_taxi.npz,0,0.6137222590034292,0.6246224417568739
nyc_taxi.npz,1,0.617715986197386,0.6009274203390245
nyc_taxi.npz,2,0.5995929044983586,0.6195686911924433
nyc_taxi.npz,3,0.6148464482066365,0.6138110233277603
nyc_taxi.npz,4,0.6067105447822213,0.6167944008493917
nyc_taxi.npz,5,0.5758307616150644,0.6055454534360089
nyc_taxi.npz,6,0.5992213528636458,0.6152304897731296
nyc_taxi.npz,7,0.6149980435618311,0.589195179305842
nyc_taxi.npz,8,0.6029943610341587,0.6149606691094812
nyc_taxi.npz,9,0.6243815100194042,0.5958244727913987
nyc_taxi_shingle.npz,0,0.6484521459151812,0.652167394260085
nyc_taxi_shingle.npz,1,0.6516818636099568,0.6492850589917823
nyc_taxi_shingle.npz,2,0.6510528197566138,0.6433975687445488
nyc_taxi_shingle.npz,3,0.6481666523600544,0.6516086699602531
nyc_taxi_shingle.npz,4,0.6576716716816451,0.667977797415306
nyc_taxi_shingle.npz,5,0.6568897259108586,0.6329101833443443
nyc_taxi_shingle.npz,6,0.6487343821612898,0.644429944096913
nyc_taxi_shingle.npz,7,0.6579700028664319,0.6594785201546953
mulcross.npz,0,0.977204098951119,0.9469285729052643
nyc_taxi_shingle.npz,8,0.6679630437215177,0.6434502605080789
mulcross.npz,1,0.9746242716477655,0.9524159604906391
mulcross.npz,3,0.9781681114117243,0.9449309756272132
mulcross.npz,2,0.9788471024759868,0.9471530520157083
nyc_taxi_shingle.npz,9,0.6638044181373097,0.6493820118366778
mulcross.npz,4,0.9787440104595929,0.936940424663178
mulcross.npz,5,0.9802828316914525,0.9518783050414558
shuttle.npz,0,0.9959979368262826,0.9948045155148707
shuttle.npz,1,0.9977548421846675,0.9970070248098553
shuttle.npz,2,0.996952592652036,0.9964072464097176
shuttle.npz,3,0.9972476959208733,0.9966818126603325
shuttle.npz,4,0.9970346032699807,0.9978057192577987
shuttle.npz,5,0.9962345155287411,0.9960249279789201
shuttle.npz,6,0.9971490345108504,0.9970689295182655
shuttle.npz,7,0.9975812178465552,0.9956182237914689
shuttle.npz,8,0.9967698962876206,0.9971016812826465
shuttle.npz,9,0.9965202593654833,0.9954414692294049
mulcross.npz,6,0.9779092768653932,0.9472537702591561
mulcross.npz,7,0.9791166932971945,0.9477483888054531
smtp.npz,0,0.8992092943394376,0.8252463399421118
smtp.npz,1,0.8879049891722558,0.8019489939658978
smtp.npz,3,0.8859521406695682,0.8035629936435185
smtp.npz,2,0.8787394263047608,0.8288137137410733
smtp.npz,4,0.9047978470659966,0.8175689786879157
smtp.npz,5,0.8938586716565398,0.8070665923792304
mulcross.npz,8,0.9799408184013053,0.9452794618587366
mulcross.npz,9,0.9790654396247709,0.9493701599895803
smtp.npz,6,0.8791248799837409,0.8966805429991099
smtp.npz,7,0.8981151315097871,0.8160660597523285
smtp.npz,8,0.8783786767024788,0.8117521322596696
smtp.npz,9,0.8956419205404762,0.8113460042469987
