dataset,run,AUC_Original,AUC_Adaptive
http.npz,2,0.9593575945076724,0.9535461386733923
http.npz,3,0.9395082623532105,0.9799786367408378
http.npz,4,0.9489029098403721,0.9559254310316966
http.npz,5,0.9506237233478493,0.942583215637368
http.npz,6,0.944684835776599,0.9799708526039825
insects.npz,3,0.7537750229829885,0.8005370050073006
mammography.npz,0,0.8698156325044543,0.8695430953739111
mammography.npz,1,0.8758787033711506,0.8581063951154588
mammography.npz,2,0.8739628448087664,0.8612585299896476
mammography.npz,3,0.8629803731012191,0.8750441904520454
mammography.npz,4,0.8689272459665207,0.8832365016655048
mammography.npz,5,0.8745938351678533,0.8516440256621525
http.npz,7,0.9315340378202015,0.9255888510908198
mammography.npz,6,0.8633937562940583,0.8606634553764463
mammography.npz,7,0.8655546870048381,0.8635659406052154
mammography.npz,8,0.8654789822463539,0.8655557433503052
http.npz,8,0.9199921206996915,0.9590687245409009
mammography.npz,9,0.8697004908485271,0.8568289213304319
http.npz,9,0.9508578667280354,0.9681615521027065
insects.npz,4,0.7596877676519794,0.8187566329299908
insects.npz,5,0.7512344051624149,0.7957261460136514
insects.npz,6,0.75651200628185,0.775830446100119
insects.npz,7,0.7594268027925674,0.8011133524378771
insects.npz,8,0.7608888569358601,0.7924462197905962
insects.npz,9,0.7576829557134923,0.7918639824915497
nyc_taxi.npz,0,0.6135808653482384,0.6296006806726792
nyc_taxi.npz,1,0.6215196948109005,0.6062602398372
nyc_taxi.npz,2,0.6103578908910069,0.6268787336315154
nyc_taxi.npz,3,0.6121815162739044,0.6156356021405646
nyc_taxi.npz,4,0.6093744279420559,0.6269821807764123
nyc_taxi.npz,5,0.5773471918819638,0.6061057841922847
nyc_taxi.npz,6,0.6002383765453192,0.6215676523352168
nyc_taxi.npz,7,0.6202437195665174,0.6076089617834783
nyc_taxi.npz,8,0.600672949896877,0.6217093320193798
nyc_taxi.npz,9,0.6281262966646733,0.6063620661512552
nyc_taxi_shingle.npz,0,0.6644934347978705,0.6392496731194597
nyc_taxi_shingle.npz,1,0.661369292236568,0.6525655523859597
nyc_taxi_shingle.npz,2,0.6557232260695087,0.6466088922236921
nyc_taxi_shingle.npz,3,0.6517951029999431,0.6362675109100691
nyc_taxi_shingle.npz,4,0.6537125083732003,0.6860782804167516
nyc_taxi_shingle.npz,5,0.6623907460234005,0.6455906957458777
nyc_taxi_shingle.npz,6,0.6536533019916336,0.6486322559432477
nyc_taxi_shingle.npz,7,0.6689536488758835,0.6601957029579432
nyc_taxi_shingle.npz,8,0.6696024281897486,0.6504065313261157
mulcross.npz,0,0.9774692528331937,0.939781060264402
mulcross.npz,2,0.9747960093748073,0.95291945032816
mulcross.npz,1,0.97804969812273,0.9505549630851547
nyc_taxi_shingle.npz,9,0.6670117178817834,0.6719597618868787
mulcross.npz,4,0.9826928528181771,0.9427761202975419
mulcross.npz,3,0.9817358952217624,0.940388728999438
mulcross.npz,5,0.9818005533301764,0.945453508197598
shuttle.npz,0,0.9974898290526594,0.9957506616300009
shuttle.npz,1,0.9984057163362564,0.9978113611584541
shuttle.npz,2,0.997915127145261,0.9944113943750662
shuttle.npz,3,0.9970260123359814,0.9979496252122256
shuttle.npz,4,0.9964626532480484,0.9975483598669902
shuttle.npz,5,0.9974571647596064,0.9972293831735629
shuttle.npz,6,0.9971239677274285,0.997527554186832
shuttle.npz,7,0.99604823908783,0.9972137695415164
shuttle.npz,8,0.9967818923554597,0.9978388646431559
shuttle.npz,9,0.9967505213884705,0.9963003814387191
mulcross.npz,6,0.9753350131580687,0.9583165446418667
smtp.npz,1,0.9032213415189678,0.888366307143508
smtp.npz,0,0.8944937941957685,0.7871167363987412
mulcross.npz,7,0.9794761193219035,0.9592302572401847
smtp.npz,2,0.8825173979774195,0.7991590101549524
smtp.npz,4,0.8963042000434512,0.8967509758986327
smtp.npz,3,0.8802779121025447,0.8003607496022819
mulcross.npz,8,0.9818800445686583,0.9484257755801457
smtp.npz,5,0.9000068330424911,0.7935867516066409
mulcross.npz,9,0.981080795654284,0.9512386501161545
smtp.npz,6,0.8879936435184211,0.8925297324951468
smtp.npz,7,0.886907364968568,0.8979378228174562
smtp.npz,8,0.8903433341042407,0.7932771622199328
smtp.npz,9,0.8961349508371353,0.7877255780053123
