dataset,run,AUC_Original,AUC_TopN
insects.npz,6,0.7428958132895107,0.7748376799255391
insects.npz,7,0.758318866803623,0.7969809684575708
insects.npz,8,0.7509409169680977,0.8152681846371586
insects.npz,9,0.7454531450668331,0.7926468387672346
nyc_taxi.npz,0,0.6137222590034292,0.6246224417568739
nyc_taxi.npz,1,0.617715986197386,0.6009274203390245
nyc_taxi.npz,2,0.5995929044983586,0.6195686911924433
nyc_taxi.npz,3,0.6148464482066365,0.6138110233277603
nyc_taxi.npz,4,0.6067105447822213,0.6167944008493917
nyc_taxi.npz,5,0.5758307616150644,0.6055454534360089
nyc_taxi.npz,6,0.5992213528636458,0.6152304897731296
nyc_taxi.npz,7,0.6149980435618311,0.589195179305842
nyc_taxi.npz,8,0.6029943610341587,0.6149606691094812
nyc_taxi.npz,9,0.6243815100194042,0.5958244727913987
nyc_taxi_shingle.npz,0,0.6484521459151812,0.6406232994930862
nyc_taxi_shingle.npz,1,0.6516818636099568,0.6534199253807986
nyc_taxi_shingle.npz,2,0.6510528197566138,0.644372270566649
nyc_taxi_shingle.npz,3,0.6481666523600544,0.6559891757705261
nyc_taxi_shingle.npz,4,0.6576716716816451,0.6746654360425458
nyc_taxi_shingle.npz,5,0.6568897259108586,0.6254402157334923
nyc_taxi_shingle.npz,6,0.6487343821612898,0.6411820237929179
nyc_taxi_shingle.npz,7,0.6579700028664319,0.6632267248026071
nyc_taxi_shingle.npz,8,0.6679630437215177,0.6338643832802712
mulcross.npz,0,0.977204098951119,0.9748783172555286
mulcross.npz,1,0.9746242716477655,0.9748707763507771
nyc_taxi_shingle.npz,9,0.6638044181373097,0.6500043494655714
mulcross.npz,2,0.9788471024759868,0.9727086103631137
mulcross.npz,3,0.9781681114117243,0.973614097298937
mulcross.npz,4,0.9787440104595929,0.9742851712054916
mulcross.npz,5,0.9802828316914525,0.9716785445698758
shuttle.npz,0,0.9959979368262826,0.9984166315083995
shuttle.npz,1,0.9977548421846675,0.9977338240741414
shuttle.npz,3,0.9972476959208733,0.9986795390805836
shuttle.npz,2,0.996952592652036,0.9974444439293355
shuttle.npz,4,0.9970346032699807,0.9983125343801369
shuttle.npz,5,0.9962345155287411,0.9975196317836967
shuttle.npz,7,0.9975812178465552,0.9980356376434261
shuttle.npz,6,0.9971490345108504,0.9985523745135392
shuttle.npz,8,0.9967698962876206,0.9986553657542978
shuttle.npz,9,0.9965202593654833,0.9978930968665108
mulcross.npz,6,0.9779092768653932,0.9744855474901388
smtp.npz,0,0.8992092943394376,0.9138687985759238
smtp.npz,1,0.8879049891722558,0.9119685119385518
smtp.npz,2,0.8787394263047608,0.9182226730862225
smtp.npz,3,0.8859521406695682,0.9058962148448724
smtp.npz,4,0.9047978470659966,0.9153277407508638
smtp.npz,5,0.8938586716565398,0.9165161645256468
mulcross.npz,7,0.9791166932971945,0.9736693148051438
mulcross.npz,9,0.9790654396247709,0.9745214365570043
mulcross.npz,8,0.9799408184013053,0.9743678930129717
smtp.npz,6,0.8791248799837409,0.9112715416044685
smtp.npz,7,0.8981151315097871,0.9139767256060383
smtp.npz,8,0.8783786767024788,0.9113629992501173
smtp.npz,9,0.8956419205404762,0.9053521995388573
